,species,island,bill_length_mm,bill_depth_mm,flipper_length_cm,body_mass_g,sex,year, 
413,Gentoo,Biscoe,43.5,14.2,2.2,4700,female,2010,
414,Gentoo,Biscoe,50.7,15,2.23,5550,male,2010,
415,Gentoo,Biscoe,47.7,15,2.16,4750,female,2010,
416,Gentoo,Biscoe,46.4,15.6,2.21,5000,male,2010,
417,Gentoo,Biscoe,48.2,15.6,2.21,5100,male,2010,
418,Gentoo,Biscoe,46.5,14.8,2.17,5200,female,2010,
419,Gentoo,Biscoe,46.4,15,2.16,4700,female,2010,
420,Gentoo,Biscoe,48.6,16,2.3,5800,male,2010,
421,Gentoo,Biscoe,47.5,14.2,2.09,4600,female,2010,
422,Gentoo,Biscoe,51.1,16.3,2.2,6000,male,2010,
423,Gentoo,Biscoe,45.2,13.8,2.15,4750,female,2010,
424,Gentoo,Biscoe,45.2,16.4,2.23,5950,male,2010,
425,Gentoo,Biscoe,49.1,14.5,2.12,4625,female,2010,
426,Gentoo,Biscoe,52.5,15.6,2.21,5450,male,2010,
427,Gentoo,Biscoe,47.4,14.6,2.12,4725,female,2010,
428,Gentoo,Biscoe,50,15.9,2.24,5350,male,2010,
429,Gentoo,Biscoe,44.9,13.8,2.12,4750,female,2010,
430,Gentoo,Biscoe,50.8,17.3,2.28,5600,male,2010,
431,Gentoo,Biscoe,43.4,14.4,2.18,4600,female,2010,
432,Gentoo,Biscoe,51.3,14.2,2.18,5300,male,2010,
433,Gentoo,Biscoe,47.5,14,2.12,4875,female,2010,
434,Gentoo,Biscoe,52.1,17,2.3,5550,male,2010,
435,Gentoo,Biscoe,47.5,15,2.18,4950,female,2010,
436,Gentoo,Biscoe,52.2,17.1,2.28,5400,male,2010,
437,Gentoo,Biscoe,45.5,14.5,2.12,4750,female,2010,
438,Gentoo,Biscoe,49.5,16.1,2.24,5650,male,2010,
439,Gentoo,Biscoe,44.5,14.7,2.14,4850,female,2010,
440,Gentoo,Biscoe,50.8,15.7,2.26,5200,male,2010,
441,Gentoo,Biscoe,49.4,15.8,2.16,4925,male,2010,
442,Gentoo,Biscoe,46.9,14.6,2.22,4875,female,2010,
443,Gentoo,Biscoe,48.4,14.4,2.03,4625,female,2010,
444,Gentoo,Biscoe,51.1,16.5,2.25,5250,male,2010,
445,Gentoo,Biscoe,48.5,15,2.19,4850,female,2010,
446,Gentoo,Biscoe,55.9,17,2.28,5600,male,2010,
447,Gentoo,Biscoe,47.2,15.5,2.15,4975,female,2010,
448,Gentoo,Biscoe,49.1,15,2.28,5500,male,2010,
449,Gentoo,Biscoe,47.3,13.8,2.16,4725,NA,2010,
450,Gentoo,Biscoe,46.8,16.1,2.15,5500,male,2010,
451,Gentoo,Biscoe,41.7,14.7,2.1,4700,female,2010,
452,Gentoo,Biscoe,53.4,15.8,2.19,5500,male,2010,
453,Gentoo,Biscoe,43.3,14,2.08,4575,female,2010,
454,Gentoo,Biscoe,48.1,15.1,2.09,5500,male,2010,
455,Gentoo,Biscoe,50.5,15.2,2.16,5000,female,2010,
456,Gentoo,Biscoe,49.8,15.9,2.29,5950,male,2010,
457,Gentoo,Biscoe,43.5,15.2,2.13,4650,female,2010,
458,Gentoo,Biscoe,51.5,16.3,2.3,5500,male,2010,
459,Gentoo,Biscoe,46.2,14.1,2.17,4375,female,2010,
460,Gentoo,Biscoe,55.1,16,2.3,5850,male,2010,
461,Gentoo,Biscoe,44.5,15.7,2.17,4875,NA,2010,
462,Gentoo,Biscoe,48.8,16.2,2.22,6000,male,2010,
463,Gentoo,Biscoe,47.2,13.7,2.14,4925,female,2010,
464,Gentoo,Biscoe,NA,NA,,NA,NA,2010,
465,Gentoo,Biscoe,46.8,14.3,2.15,4850,female,2010,
466,Gentoo,Biscoe,50.4,15.7,2.22,5750,male,2010,
467,Gentoo,Biscoe,45.2,14.8,2.12,5200,female,2010,
468,Gentoo,Biscoe,49.9,16.1,2.13,5400,male,2010,
